,iata_code,icao_code,country_code,country_name,latitude,longitude,elev_ft,nrunways,longest_runway_ft,name,traffic_region,source
305,BOO,ENBO,NO,Norway,67.26916666,14.37222222,42.0,1.0,9166.0,,Europe,MIT_AEIC
306,XNA,KXNA,US,United States,36.28194444,-94.30694444,1287.0,1.0,8800.0,,North America,MIT_AEIC
307,BTV,KBTV,US,United States,44.47277777,-73.15305555,335.0,2.0,8320.0,,North America,MIT_AEIC
308,MES,WIMM,ID,Indonesia,3.56111111,98.67277777,114.0,1.0,9514.0,,Pacific South-East Asia,MIT_AEIC
309,PWM,KPWM,US,United States,43.64444444,-70.30361111,76.0,2.0,7200.0,,North America,MIT_AEIC
310,KOJ,RJFK,JP,Japan,31.80194444,130.7202778,906.0,1.0,9840.0,,North Asia,MIT_AEIC
311,KTM,VNKT,NP,Nepal,27.70055555,85.36305555,4390.0,1.0,10007.0,,Central and South-West Asia,MIT_AEIC
312,KOA,PHKO,US,United States,19.73888888,-156.0455556,47.0,1.0,11000.0,,North America,MIT_AEIC
313,LBA,EGNM,GB,United Kingdom,53.86527777,-1.65472222,681.0,1.0,7382.0,,Europe,MIT_AEIC
314,SVQ,LEZL,ES,Spain,37.415,-5.89749999,111.0,1.0,11024.0,,Europe,MIT_AEIC
315,BHD,EGAC,GB,United Kingdom,54.61722222,-5.87083333,15.0,1.0,6001.0,,Europe,MIT_AEIC
316,TNA,ZSJN,CN,China,36.75,116.96666670000002,76.0,1.0,11811.0,,Central and South-West Asia,MIT_AEIC
317,HAN,VVNB,VN,Vietnam,21.03583333,105.89,39.0,2.0,12467.0,,Pacific South-East Asia,MIT_AEIC
318,EOH,SKMD,CO,Colombia,6.21944444,-75.59055555,4940.0,1.0,8234.0,,South America,MIT_AEIC
319,HHN,EDFH,DE,Germany,49.94972222,7.26388888,1649.0,1.0,12467.0,,Europe,MIT_AEIC
320,FLR,LIRQ,IT,Italy,43.81027777,11.19777777,142.0,1.0,5742.0,,Europe,MIT_AEIC
321,POA,SBPA,BR,Brazil,-29.99333333,-51.17083333,11.0,1.0,7480.0,,South America,MIT_AEIC
322,KWE,ZUGY,CN,China,26.40944444,106.53166670000002,3736.0,1.0,10500.0,,Central and South-West Asia,MIT_AEIC
323,EYW,KEYW,US,United States,24.55555555,-81.75972222,3.0,1.0,4801.0,,North America,MIT_AEIC
324,MZG,RCQC,TW,Taiwan,23.56916666,119.61861110000001,103.0,1.0,9843.0,,North Asia,MIT_AEIC
325,KWL,ZGKL,CN,China,25.18333333,110.15,570.0,1.0,10499.0,,Central and South-West Asia,MIT_AEIC
326,BIL,KBIL,US,United States,45.80694444,-108.5427778,3652.0,3.0,10518.0,,North America,MIT_AEIC
327,ISP,KISP,US,United States,40.79666666,-73.10083333,99.0,6.0,7006.0,,North America,MIT_AEIC
328,LEX,KLEX,US,United States,38.03694444,-84.60527777,979.0,2.0,7003.0,,North America,MIT_AEIC
329,YQB,CYQB,CA,Canada,46.78916666,-71.39805555,244.0,2.0,9000.0,,North America,MIT_AEIC
330,PPT,NTAA,PF,French Polynesia,-17.54722222,-149.6138889,5.0,1.0,11220.0,,Pacific South-East Asia,MIT_AEIC
331,MYY,WBGR,MY,Malaysia,4.45527777,114.00083329999998,59.0,1.0,9006.0,,Pacific South-East Asia,MIT_AEIC
332,CAK,KCAK,US,United States,40.91388888,-81.44166666,1228.0,2.0,7601.0,,North America,MIT_AEIC
333,LIH,PHLI,US,United States,21.97916666,-159.3458333,153.0,3.0,6500.0,,North America,MIT_AEIC
334,SBA,KSBA,US,United States,34.42777777,-119.83944440000002,14.0,3.0,6052.0,,North America,MIT_AEIC
335,ANU,TAPA,AG,Antigua and Barbuda,17.13749999,-61.78999999,62.0,1.0,9003.0,,Central America/ Caribbean,MIT_AEIC
336,ABE,KABE,US,United States,40.65472222,-75.43833333,393.0,2.0,7600.0,,North America,MIT_AEIC
337,TLH,KTLH,US,United States,30.39972222,-84.35194444,81.0,2.0,8000.0,,North America,MIT_AEIC
338,CID,KCID,US,United States,41.88444444,-91.70611111,869.0,2.0,8601.0,,North America,MIT_AEIC
339,HRB,ZYHB,CN,China,46.01666666,126.58333329999999,457.0,1.0,10500.0,,Central and South-West Asia,MIT_AEIC
340,SPR,XXXX,BZ,Belize,17.91111111,-87.96861111,4.0,1.0,3500.0,,Central America/ Caribbean,MIT_AEIC
341,CGO,ZHCC,CN,China,34.75,113.66666670000001,495.0,1.0,11155.0,,Central and South-West Asia,MIT_AEIC
342,DAC,VGZR,BD,Bangladesh,23.78055555,90.38611111,30.0,1.0,10500.0,,Central and South-West Asia,MIT_AEIC
343,ESB,LTAC,TR,Turkey,40.12916666,32.99666666,3125.0,2.0,12303.0,,Europe,MIT_AEIC
344,PEN,WMKP,MY,Malaysia,5.28972222,100.2725,11.0,1.0,10997.0,,Pacific South-East Asia,MIT_AEIC
345,BGY,LIME,IT,Italy,45.67388888,9.70416666,782.0,2.0,9626.0,,Europe,MIT_AEIC
346,SDJ,RJSS,JP,Japan,38.13611111,140.9238889,15.0,2.0,9842.0,,North Asia,MIT_AEIC
