,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
347,C421,2,Piston,L,GTSIO-520-N,C421,P121,TIO-540-J2B2,,,,,,12.36,16.63,13.38,68.08,,1442.1,1470.9,1261.6,1293.7,,0.36,0.24,1.39,0.39,,,,,,,,0.0327,0.0258,0.0125,0.0032,,,,,,faeed165,TIO-540-...,350,0.1,0.07,0.04,0.05,TRUE
348,C425,2,Turboprop,L,PT6A-41,PAY3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
349,C441,2,Turboprop,L,PT6A-41,PAY3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
350,C46,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
351,C5,4,Jet,H,Trent 553,A345,8RR044,Trent 553-61,Phase5 Tiled,TF,7.5,35.19,251.9,0.02,0.01,0.04,0.14,60,0.18,0.44,0.66,10.5,3979,40.55,30.98,11.37,5.96,14444,4.29,4.15,1.95,0.91,4.9,-,2.11,1.73,0.6,0.23,820,100.04 - 102.91,275.5 - 280.3,0.0038 - 0.0062,Rolls Royce plc,icao,,,,,,,TRUE
352,C500,2,Jet,L,JT15D-4,C551,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
353,C501,2,Jet,L,JT15D-4,C551,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
354,C510,2,Jet,L,PW615F,C510,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
355,C525,2,Jet,L,FJ44-1AP,C525,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
356,C526,2,Jet,L,PW617F,E50P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
357,C550,2,Jet,L,JT15D-4,C550,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
358,C551,2,Jet,L,JT15D-4,C551,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
359,C55B,2,Jet,L,PW530A,C55B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
360,C560,2,Jet,M,JT15D-5A,C560,1PW038,JT15D-5C,,TF,2.1,13.3,14.19,0,0.67,16,96.67,4439,2.52,4.18,49.24,124.6,6288,9.93,9.79,5.23,1.08,454,17.1,15.1,,,17.1,Jet A-1,0.2151,0.1802,0.0678,0.0276,92,101.7,300,0.01,Pratt & Whitney (Canada),icao,,,,,,,TRUE
361,C56X,2,Jet,M,PW545C,C56X,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
362,C5M,4,Jet,H,Trent 553,A345,8RR044,Trent 553-61,Phase5 Tiled,TF,7.5,35.19,251.9,0.02,0.01,0.04,0.14,60,0.18,0.44,0.66,10.5,3979,40.55,30.98,11.37,5.96,14444,4.29,4.15,1.95,0.91,4.9,-,2.11,1.73,0.6,0.23,820,100.04 - 102.91,275.5 - 280.3,0.0038 - 0.0062,Rolls Royce plc,icao,,,,,,,TRUE
363,C650,2,Jet,M,TFE731-4R-2S,C650,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
364,C680,2,Jet,M,PW306C,C680,7PW077,PW306A,Annular,MTF,4.5,20,26.87,0,0,0,4.36,287,2.27,2.51,7.11,36.35,2677,20.08,19.26,11.87,4.26,1497,2.6,0.8,0,0.2,3.9,Jet A-1,0.3171,0.2641,0.0974,0.0422,137,98.39 - 99.49,284 - 300,0.0054 - 0.0144,Pratt & Whitney Canada,icao,,,,,,,TRUE
365,C68A,2,Jet,M,PW306C,C680,7PW077,PW306A,Annular,MTF,4.5,20,26.87,0,0,0,4.36,287,2.27,2.51,7.11,36.35,2677,20.08,19.26,11.87,4.26,1497,2.6,0.8,0,0.2,3.9,Jet A-1,0.3171,0.2641,0.0974,0.0422,137,98.39 - 99.49,284 - 300,0.0054 - 0.0144,Pratt & Whitney Canada,icao,,,,,,,TRUE
366,C700,2,Jet,M,AS907-1-1A,CL30,11HN003, HTF7000 (AS907-1-1A),SABER-1,MTF,4.2,21.95,30.62,0.05,0.06,0.12,1.26,,0.56,0.63,6.28,33.24,,17.9,16.17,8.81,3.91,,13.6,10.6,0.7,1.7,13.6,Jet-A,0.347,0.288,0.104,0.048,152,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
367,C72R,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
368,C750,2,Jet,M,AE 3007C,C750,6AL024,AE3007C1,Type 2,MTF,5.1,16.58,31.46,0,0.01,0.21,5.88,389,0,0,1.62,36.04,2389,20.2,17.6,6.71,3.14,1262,0.01,0.01,0.01,0.01,0.01,Jet A,0.3222,0.2689,0.0991,0.0418,138,99.6 - 99.7,297 - 301,0.0115 - 0.0141,Rolls-Royce Corporation,icao,,,,,,,TRUE
369,C77R,1,Piston,L,O-320-D3G,P28A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
370,C82,2,Piston,M,R-1820-82A,S2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
371,C82R,1,Piston,L,IO-540-C4D5D,TB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
372,C82S,1,Piston,L,TIO-540-AK1A,C82S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
373,C82T,1,Piston,L,TIO-540-AK1A,C82S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
374,C919,2,Jet,M,PW1127G,A20N,18PW122,PW1127G-JM,TALON X,TF,12.28,31.66,120.43,0.02,0.04,0.02,0.43,59,0.22,0.3,5.36,27.93,3819,18.82,15.3,9.07,4.84,3096,13.4,10.5,0.5,1.2,13.4,Jet-A,0.8,0.67,0.2322,0.08,303,99.56 - 101.71,265.6 - 278.15,0.00071 - 0.00203,Pratt & Whitney,icao,,,,,,,TRUE
375,C97,4,Turboprop,M,AE2100-D3,C30J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
376,CA12,2,Turboprop,L,PT6A-28,BE9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
377,CA19,2,Piston,L,TSIO-520-E,C402,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
378,CA25,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
379,CA41,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
380,CA9,1,Turboprop,L,PT6A-64,TBM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
381,CAT,2,Piston,M,R-1820-82A,S2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
382,CC19,1,Piston,L,IO-360-L2A,C172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
383,CD2,2,Turboprop,L,M601E,L410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
384,CE22,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
385,CE25,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
386,CE43,1,Piston,L,IO-550-N,SR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
387,CH10,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
388,CH20,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
389,CH25,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
390,CH2T,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
391,CH30,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
392,CH40,1,Piston,L,IO-360-L2A,C172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
393,CH50,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
394,CH60,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
395,CH70,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
396,CH7A,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
397,CH7B,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
398,CHIN,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
399,CHIP,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
400,CJ6,1,Piston,L,IO-540-C4D5D,TB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
401,CL2P,2,Piston,M,R-1820-82A,S2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
402,CL2T,2,Turboprop,M,PT6A-67R,SH36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
403,CL30,2,Jet,M,AS907-1-1A,CL30,11HN003, HTF7000 (AS907-1-1A),SABER-1,MTF,4.2,21.95,30.62,0.05,0.06,0.12,1.26,,0.56,0.63,6.28,33.24,,17.9,16.17,8.81,3.91,,13.6,10.6,0.7,1.7,13.6,Jet-A,0.347,0.288,0.104,0.048,152,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
404,CL35,2,Jet,M,HTF7250G,G280,11HN005, HTF7250G (AS907-2-1G),SABER-1,MTF,4.2,22.58,32.86,0.05,0.06,0.12,0.99,,0.57,0.6,6.07,30.48,,18.43,16.44,8.96,3.965,,13.6,10.6,0.8,1.8,13.6,Jet-A,0.372,0.308,0.107,0.049,158,96.44-97.59,296-313,0.0013-0.0125,Honeywell,icao,,,,,,,TRUE
405,CL41,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
406,CL44,4,Turboprop,M,501-D22A,C130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
407,CL60,2,Jet,M,CF34-3B,CL60,5GE084,CF34-3B,,TF,6.25,19.3,41.01,0.06,0.05,0.13,4.69,366,0,0,1.88,47.59,3683,11.28,9.68,6.63,3.72,1078,18.3,9.2,3.1,3.1,18.3,Jet A,0.3991,0.3288,0.116,0.0489,164,101.6-102.9,275.5-281.1,.0016-.0039,GE Aircraft Engines,icao,,,,,,,TRUE
408,CN12,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
409,CN35,2,Turboprop,M,PW120,AT43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
410,CNBR,3,Jet,M,TFE731-60,F900,1AS002,TFE731-3,,TF,2.64,14.3,16.5,0.062,0.072,1.41,9.04,393,1.13,1.62,15.56,47.7,2254,19.15,16.02,6.92,3.72,845,,,,,,ASTM D1655-73T,0.225,0.186,0.072,0.026,92,97.0-97.3,294 - 313,.0039-.0073,Allied Signal,icao,,,,,,,TRUE
411,CO50,1,Piston,L,TSIO-550-G,M20T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
412,COAR,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
413,COL3,1,Piston,L,IO-550-N,SR22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
414,COL4,1,Piston,L,TSIO-550-K,S22T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
415,CONI,2,Turboprop,M,Tyne 522,C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
416,CORV,2,Piston,L,TAE 120-01 Centurion,DA42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
417,COUG,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
418,COUR,1,Piston,L,TIO-540-AK1A,C82S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
419,COY2,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
420,COZJ,1,Jet,L,FJ33-5A,SF50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
421,COZY,1,Piston,L,IO-540-C4D5D,TB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
422,CP10,1,Piston,L,IO-360-C1C6,P28R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
423,CP13,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
424,CP20,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
425,CP21,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
426,CP22,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
427,CP23,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
428,CP30,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
429,CP32,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
430,CR10,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
431,CRER,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
432,CRES,1,Turboprop,L,PT6A-34,P750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
433,CRJ1,2,Jet,M,CF34-3A1,CRJ1,1GE035,CF34-3A1,LEC II,TF,6.25,19.7,41.01,0.06,0.06,0.13,3.95,313,0,0,1.9,42.6,3350,11.61,10.14,6.86,3.82,1137,21.9,9.2,3.1,3.1,21.9,JP-5,0.407,0.3343,0.119,0.0496,167,101.6-102.9,275.5-281.1,.0016-.0039,GE Aircraft Engines,icao,,,,,,,TRUE
434,CRJ2,2,Jet,M,CF34-3B1,CRJ2,5GE084,CF34-3B,,TF,6.25,19.3,41.01,0.06,0.05,0.13,4.69,366,0,0,1.88,47.59,3683,11.28,9.68,6.63,3.72,1078,18.3,9.2,3.1,3.1,18.3,Jet A,0.3991,0.3288,0.116,0.0489,164,101.6-102.9,275.5-281.1,.0016-.0039,GE Aircraft Engines,icao,,,,,,,TRUE
435,CRJ7,2,Jet,M,CF34-8C5,CRJ9,8GE110,CF34-8C5,LEC,TF,5.13,23.09,59.42,0.02,0.02,0.06,0.13,18,0.64,0.57,4.24,18.25,2071,14.69,12.6,10.75,4.6,2205,8.32,2.12,0,0,8.32,Jet A,0.648,0.53,0.179,0.064,240,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
436,CRJ9,2,Jet,M,CF34-8C5,CRJ9,8GE110,CF34-8C5,LEC,TF,5.13,23.09,59.42,0.02,0.02,0.06,0.13,18,0.64,0.57,4.24,18.25,2071,14.69,12.6,10.75,4.6,2205,8.32,2.12,0,0,8.32,Jet A,0.648,0.53,0.179,0.064,240,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
437,CRJX,2,Jet,M,CF34-8C5A1,CRJX,8GE107,CF34-8C5A1,LEC,TF,5.13,23.49,60.62,0.02,0.02,0.06,0.13,18,0.66,0.57,4.17,17.85,2051,15.09,12.82,10.87,4.65,2287,9.96,2.66,0,0,9.96,Jet A,0.665,0.543,0.183,0.065,245,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
438,CRUZ,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
439,CT4,1,Piston,L,IO-360-C1C6,P28R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
440,CUCA,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
441,CVLP,2,Piston,M,R-1820-82A,S2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
442,CVLT,2,Turboprop,M,PW126A,ATP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
443,CX5,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
444,D1,1,Piston,L,IO-550-G,M20P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
445,D11,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
446,D139,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
447,D140,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
448,D150,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
449,D18,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
450,D228,2,Turboprop,L,TPE331-5-252D,D228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
451,D250,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
452,D253,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
453,D28D,1,Piston,L,TIO-540-AE2A,PA46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
454,D28T,1,Turboprop,L,PT6A-42A,P46T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
455,D31,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
456,D328,2,Turboprop,M,PW119B,D328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
457,D6,1,Piston,L,O-320-D3G,P28A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
458,D8,1,Piston,L,TSIO-360-FB,P28U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
459,DA2,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
460,DA36,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
461,DA40,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
462,DA42,2,Piston,L,TAE 120-01 Centurion,DA42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
463,DA5,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
464,DA50,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
465,DA62,2,Piston,L,AE330 E4P-C,DA62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
466,DAL4,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
467,DC10,3,Jet,H,CF6-50C2,DC10,3GE074,CF6-50C2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,0.14,0.15,0.28,2.72,788,0.45,0.45,3.71,24.04,6863,28.97,25.5,10.16,3.4,11884,10.95,11.72,1.62,1.4,12.52,Jet A,2.361,1.94,0.663,0.163,769,97.73-97.91,292.3-301.3,.0127-.0216,GE Aircraft Engines,icao,,,,,,,TRUE
468,DC3,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
469,DC3S,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
470,DC3T,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
471,DC4,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
472,DC6,2,Turboprop,M,AE2100-D2,C27J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
473,DC7,4,Turboprop,M,501-D22A,C130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
474,DC85,4,Jet,H,CFM56-2C1,DC87,1CM003,CFM56-2-C5,,TF,6,23.5,97.86,0.04,0.05,0.08,1.83,378,0.9,0.9,4.2,30.7,6578,18.5,16,8.2,4,3906,6,3,2.6,2.2,6,Jet A,0.985,0.819,0.311,0.128,424,95.98-97.49,279 - 286,.002-.009,CFM International,icao,,,,,,,TRUE
475,DC86,4,Jet,H,CFM56-2C1,DC87,1CM003,CFM56-2-C5,,TF,6,23.5,97.86,0.04,0.05,0.08,1.83,378,0.9,0.9,4.2,30.7,6578,18.5,16,8.2,4,3906,6,3,2.6,2.2,6,Jet A,0.985,0.819,0.311,0.128,424,95.98-97.49,279 - 286,.002-.009,CFM International,icao,,,,,,,TRUE
